"sp","code","locality","latitude","longitude","host","date","collector"
"Eriosoma_americanum","CNCHEM007074","Canada: Québec: Parc de la Gatineau (Belvédère Champlain)",45.509,-75.911,"Ulmus","1991 . 6 . 14","Eric Maw"
"Eriosoma_crataegi","CNCHEM006950","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake; south shore (Puffers Bay))",44.561,-78.045,"Crataegus","1991 . 8 . 4","Eric Maw"
"Essigella_californica","CNCHEM068248","Argentina: San Luis: El Rincón",-32.35,-65,"Pinus","2009 . 12 . 4","N. Pérez Hildago"
"Essigella_fusca","CNCHEM054217","United States: California: e of Mount Shasta [City] (FR 31, below Mt. Shasta Ski Area)",41.311,-122.209,"Pinus ponderosa","2005 . 9 . 28","Eric Maw/R.G. Foottit"
"Essigella_knowltoni","CNCHEM013075","Canada: British Columbia: n of Beaverdell (hwy 33, Kallis Creek forest service road)",49.795,-119.097,"Pinus contorta","1994 . 7 . 14","R.G. Foottit"
"Essigella_pini","CNCHEM049248","United States: North Carolina: Shooting Creek/Rainbow Springs (Buck Creek serpentine barrens)",35.086,-83.616,"Pinus rigida","2002 . 5 . 30","Foottit/Maw/von Dohlen/Rowe"
"Eucallipterus_tiliae","CHAN_2006_0082","Canada: British Columbia: Vancouver (4895 Main St)",49.241,-123.102,"Tilia x euchlora","2006 . 6 . 10","C.-K. Chan"
"Euceraphis_betulae","CHAN_2006_0046","Canada: British Columbia: Vancouver (2425 Oak St.)",49.264,-123.127,"Betula pendula","2006 . 6 . 3","C.-K. Chan"
"Euceraphis_borealis","CNCHEM057293","Canada: Manitoba: s of Churchill (Dene Village, Goose Creek Rd)",58.733,-94.113,"Betula pumila","2007 . 7 . 24","E.Maw/R.G. Foottit"
"Euceraphis_gillettei","CHAN_2006_0148","Canada: British Columbia: Vancouver (UBC, near the gate of Physical Plant Nursery)",49.25,-123.235,"Alnus rubra","2006 . 6 . 27","C.-K. Chan"
"Euceraphis_lineata","CNCHEM061383","Canada: Ontario: Mer Bleue Conservation Area (Dohlman Ridge w of Anderson Rd)",45.404,-75.565,"Betula populifolia","2008 . 8 . 1","Eric Maw/B. Brunet/M. Larizza"
"Euceraphis_papyrifericola","CHAN_2006_0163","Canada: British Columbia: Burnaby (opp 4292 Irmin St.(at 7400 McKay Ave.))",49.216,-123.009,"Betula papyrifera","2006 . 6 . 30","C.-K. Chan"
"Eulachnus_agilis","CNCHEM006558","Canada: Nova Scotia: 6 km ne of Clyde River ( Bowers Meadow, 3.3 km s of hwy 103)",43.654,-65.403,"Pinus sylvestris","1993 . 8 . 10","R.G. Foottit/Eric Maw"
"Eulachnus_rileyi","CHAN_2006_0224","Canada: British Columbia: North Vancouver (1505 Lillooet Rd., Boal Chapel & Memorial Park)",49.321,-123.023,"Pinus sylvestris","2006 . 8 . 11","C.-K. Chan"
"Forda_formicaria","CNCHEM063260","Canada: Québec: n of Louiseville",46.276,-72.928,"Bromus inermis","2009 . 6 . 11","Eric Maw/C. McGrath"
"Forda_marginata","CNCHEM012656","Israel:",31,34.8,"Pistacia palaestina","1995 . 10 . 15","David Wool"
"Gharesia_polunini","CNCHEM026132","Canada: British Columbia: Tangier River Recreational Site",51.149,-117.847,"Carex","1998 . 8 . 11","Eric Maw"
"Glyphina_longiseta","CNCHEM061505","Canada: Nova Scotia: Lower Economy",45.4,-63.966,"Alnus viridis","2008 . 8 . 20","Eric Maw/C. Thompson"
"Grylloprociphilus_imbricator","CNCHEM054811","United States: Michigan: Ann Arbor",42.277,-83.736,"Fagus grandifolia","2000 . 7 . 14","Carol von Dohlen"
"Gypsoaphis_oestlundi","CNCHEM007465","Canada: Ontario: Malakoff (3101 Klondike Road)",45.111,-75.788,"Lonicera","1993 . 5 . 30","Eric Maw"
"Hamamelistes_spinosus","CNCHEM006689","Canada: New Brunswick: Fredericton (Odell Park arboretum)",45.958,-66.665,"Hamamelis virginiana","1993 . 8 . 13","Eric Maw/R.G. Foottit"
"Hannabura_alnosa","CNCHEM006954","Canada: Ontario: Burleigh Tshp., Petroglyphs Prov Pk (Upper Stoney Lake, north side)",44.618,-78.058,"Alnus","1991 . 8 . 5","Eric Maw"
"Hayhurstia_atriplicis","CNCHEM007038","Canada: Ontario: Ottawa (Central Experimental Farm)",45.393,-75.717,"Chenopodium album","1991 . 11 . 4","Eric Maw"
"Hormaphis_cornu","CNCHEM054010","United States: Georgia: Athens",33.96,-83.379,"Hamamelis",1994,"Carol von Dohlen"
"Hormaphis_hamamelidis","CNCHEM055763","United States: Michigan: Manistee N.F., (Forest Service Road 5311 at F.S. 5539, n of Lake Drive)",43.753,-85.905,"Hamamelis virginiana","2007 . 6 . 22","Eric Maw/B. Brunet"
"Hyalopterus_pruni","CHAN_2006_0222","Canada: British Columbia: North Vancouver (1505 Lillooet Rd., Boal Chapel & Memorial Park)",49.321,-123.023,"Glyceria maxima","2006 . 8 . 11","C.-K. Chan"
"Hyperomyzus_lactucae","CNCHEM006133","Canada: New Brunswick: Jemseg (under s end of bridge on Hwy 2)",45.826,-66.118,"Sonchus asper","1993 . 8 . 4","Eric Maw/R.G. Foottit"
"Hyperomyzus_pallidus","CNCHEM007277","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake; south shore (Puffers Bay))",44.561,-78.045,"Sonchus","1992 . 8 . 19","Eric Maw"
"Hyperomyzus_rhinanthi","CNCHEM061424","Canada: New Brunswick: Grimmer Parish, e of Kedgwick (Hwy 17)",47.656,-67.28,"Rhinanthus","2008 . 8 . 19","Eric Maw/C. Thompson"
"Hysteroneura_setariae","CNCHEM028532","United States: Colorado: w of Bellvue (Rist Canyon Rd.)",40.635,-105.204,,"1999 . 7 . 7","Eric Maw/R.G. Foottit"
"Idiopterus_nephrelepidis","CNCHEM056629","New Zealand: Tasman, Richmond (Aniseed Valley (H8))",-41.389,173.167,"Pterodophyta","2006 . 11 . 28","I. Scott/D.A.J. Teulon"
"Illinoia_alni","CNCHEM006588","Canada: Nova Scotia: Lower Mount Thom (old hwy 4, jct road e of rd to Up. Mt. Thom)",45.527,-62.967,"Alnus incana","1993 . 8 . 11","Eric Maw/R.G. Foottit"
"Illinoia_crystleae","CNCHEM051396","United States: Washington: Kalaloch (Beach 3)",47.636,-124.385,"Lonicera involucrata","2003 . 7 . 24","R.G. Foottit/K.S. Pike/G. Graf"
"Illinoia_lambersi","CNCHEM051381","United States: Washington: Port Angeles (Portside Inn)",48.109,-123.406,"Rhododendron","2003 . 7 . 23","R.G. Foottit/K.S. Pike/G. Graf"
"Illinoia_liriodendri","CHAN_2006_0169","Canada: British Columbia: Burnaby (7451 Sussex Ave)",49.215,-123.005,"Liriodendron tulipifera","2006 . 7 . 4","C.-K. Chan"
"Illinoia_menziesiae","CNCHEM063443","Canada: Alberta: AB, (Hwy 940 (Forestry Trunk Road))",49.688,-114.476,"Vaccinium","2009 . 7 . 8","Eric Maw/R.G. Foottit"
"Illinoia_paqueti","CNCHEM057226","Canada: Manitoba: n of Thompson (Hwy 280 near Southwest Bay (Mystery Lake))",55.852,-97.812,"Rhododenron groenlandicum","2007 . 7 . 22","E.Maw/R.G. Foottit"
"Illinoia_richardsi","CNCHEM057568","Canada: British Columbia: Kitimat (Mountain View Square)",54.053,-128.649,"Anaphalis margaritacea","2007 . 8 . 17","Eric Maw/D.I. Barnes"
"Illinoia_rubicola","CNCHEM007250","Canada: Ontario: Ottawa (Ridgemont)",45.375,-75.657,"Rubus strigosus","1992 . 8 . 8","Eric Maw"
"Iziphya_albipes","CNCHEM051523","Canada: Québec: Parc de la Gatineau (intersection road to Meech Lake and road to Chelsea)",45.521,-75.851,"Carex","2004 . 8 . 12","Eric Maw/Bryan Brunet"
"Iziphya_flabella","CNCHEM055849","United States: Wisconsin: s of Solon Springs (Douglas Co. Forest, Cut-a-way Dam Snowmobile trail head)",46.316,-91.81,"Carex","2007 . 6 . 26","Eric Maw/B. Brunet"
"Jacksonia_papillata","CNCHEM055058","United States: Washington: Olympic National Pk, (near Quinault Lake south side)",47.44,-123.88,,"2006 . 3 . 21","K.S. Pike"
"Kaltenbachiella_ulmifusa","CNCHEM061357","Canada: Ontario: Malakoff (3101 Klondike Road)",45.111,-75.788,"Populus deltoides","2008 . 7 . 23","R.G. Foottit"
"Lachnus_allegheniensis","CNCHEM054954","United States: Michigan: Manistee N.F., n of Walkers Corners (Osborne Ave)",43.794,-85.949,"Quercus (Lobatae)","2007 . 6 . 22","Eric Maw/B. Brunet"
"Liosomaphis_berberidis","CHAN_2006_0268","Canada: British Columbia: Vancouver (UBC, Asian Garden)",49.254,-123.249,"Berberis morrisonensis","2006 . 8 . 21","C.-K. Chan"
"Lipaphis_pseudobrassicae","CNCHEM028744","United States: Utah: Smithfield (Hwy 91)",41.891,-111.831,"Brassica nigra","1999 . 7 . 11","Eric Maw/R.G. Foottit"
"Longicaudus_trirhodus","CHAN_2006_0075","Canada: British Columbia: Vancouver (Van Dusen Botanical Garden)",49.239,-123.13,"Aquilegia vulgaris","2006 . 6 . 8","C.-K. Chan"
"Longistigma_caryae","CNCHEM028402","Canada: Ontario: Ottawa (Deerfield and Baseline Road)",45.356,-75.752,"Tilia cordata","1999 . 6 . 16","D.I. Barnes"
"Macrosiphoniella_abrotani","CNCHEM068238","Kazakhstan: Almaty: Shelik (3 ème station, proche réservoir)",43.72,78.495,"Artemisia","2007 . 5 . 10","A. Coeur d'Acier"
"Macrosiphoniella_absinthii","CNCHEM026693","Canada: British Columbia: s of Elko",49.449,-115.063,"Artemisia","1998 . 8 . 20","Eric Maw/R.G. Foottit"
"Macrosiphoniella_artemisiae","CNCHEM063172","Canada: Québec: Sainte-Foy ( behind Complexe Scientifique, 2700 Rue Einstein)",46.793,-71.308,"Artemisia absinthium","2009 . 6 . 8","Eric Maw/C. McGrath"
"Macrosiphoniella_leucanthemi","CNCHEM025959","Canada: Ontario: Gloucester (Parkway Road near Ottawa-Carleton Road 27)",45.28,-75.514,"Leucanthum vulgare","1998 . 6 . 7","Eric Maw"
"Macrosiphoniella_ludovicianae","CNCHEM012228","Canada: Ontario: Ennismore (Listowel Line)",44.429,-78.403,"Artemisia ludoviciana","1996 . 8 . 16","Eric Maw"
"Macrosiphoniella_millefolii","CNCHEM007638","Canada: Ontario: Ottawa (Ridgemont)",45.375,-75.657,"Achillea millefolium","1993 . 7 . 17","Eric Maw"
"Macrosiphoniella_paucisetosa","CNCHEM057052","Canada: Manitoba: Sandilands Provincial Forest, near headquarters",49.635,-95.923,"Artemisia biennis","2007 . 7 . 18","E.Maw/R.G. Foottit"
"Macrosiphoniella_subterranea","CNCHEM011133","Canada: Ontario: Ottawa (Walkley Rd @ Albion N)",45.377,-75.655,"Leucanthum vulgare","1996 . 6 . 13","Eric Maw"
"Macrosiphoniella_tanacetaria","CNCHEM057553","Canada: British Columbia: n of Kitimat (Hwy 37)",54.111,-128.602,"Tanacetum  vulgare","2007 . 8 . 16","Eric Maw/D.I. Barnes"
"Macrosiphoniella_tapuskae","CNCHEM057318","Canada: Manitoba: s of Churchill (Goose Creek Rd, Marina)",58.661,-94.166,"Achillea millefolium","2007 . 7 . 25","E.Maw/R.G. Foottit"
"Macrosiphum_albifrons","CNCHEM007678","Canada: Ontario: Ottawa (Baslaw Cr.)",45.376,-75.614,"Lupinus","1993 . 8 . 19","Eric Maw"
"Macrosiphum_californicum","CNCHEM006039","Canada: New Brunswick: sw of Plaster Rock (@Tobiqueview Rest: 2.9 km e of jct #390 & 108)",46.889,-67.412,"Salix","1993 . 8 . 2","Eric Maw/R.G. Foottit"
"Macrosiphum_creelii","CNCHEM063938","United States: Washington: Yakima Co., South Fork Ahtanum Creek (FR A1000 mile marker 7)",46.466,-121.048,"Vicia","2009 . 7 . 28","G. Graf/D. Graf"
"Macrosiphum_daphnidis","CHAN_2006_0127","Canada: British Columbia: Vancouver (Yukon St & W 11 Ave (Vancouver City Hall))",49.261,-123.113,"Daphne laureola","2006 . 6 . 22","C.-K. Chan"
"Macrosiphum_diervillae","CNCHEM007290","Canada: Ontario: Mer Bleue Conservation Area (Dohlman Ridge w of Anderson Rd)",45.404,-75.565,"Diervilla lonicera","1992 . 9 . 6","Eric Maw"
"Macrosiphum_impatientis","CNCHEM049306","United States: Georgia: n of Young Harris",34.949,-83.847,"Impatiens","2002 . 5 . 31","Maw/Foottit/von Dohlen/Rowe"
"Macrosiphum_olmsteadi","CNCHEM055853","United States: Wisconsin: s of Solon Springs (Douglas Co. Forest, Cut-a-way Dam Snowmobile trail head)",46.316,-91.81,"Eurybia macrophylla","2007 . 6 . 26","Eric Maw/B. Brunet"
"Macrosiphum_osmaroniae","CNCHEM061895","Canada: British Columbia: Vancouver (Everet Crowley Park, Kerr St)",49.211,-123.036,"Oemleria cerasiformis","2008 . 5 . 24","C.-K. Chan"
"Macrosiphum_pallidum","CNCHEM010095","Canada: Alberta: Fabyan (campground, Battle River @ Hwy 14)",52.898,-111.01,"Rosa acicularis","1995 . 6 . 27","Eric Maw"
"Macrosiphum_parvifolii","CNCHEM032890","United States: Washington: Mount Spokane (Hwy 206, mile 14, just below state park entrance)",47.88,-117.143,"Vaccinium ovalifolium","2000 . 7 . 13","Eric Maw/R.G. Foottit"
"Macrosiphum_pseudocoryli","CNCHEM056912","Canada: Ontario: near McCarrell Lake",46.45,-83.91,"Betula alleghaniensis","2007 . 6 . 28","Eric Maw/B. Brunet"
"Macrosiphum_stanleyi","CHAN_2006_0150","Canada: British Columbia: Vancouver (UBC, Asian Garden, Sargent Trail)",49.254,-123.25,"Sambucus racemosa","2006 . 6 . 27","C.-K. Chan"
"Macrosiphum_tenuicauda","CHAN_2006_0276","Canada: British Columbia: Vancouver (Spanish Bank, Admiralty trail)",49.278,-123.228,"Urtica dioica","2006 . 8 . 26","C.-K. Chan"
"Macrosiphum_tolmiea","CNCHEM062414","United States: Washington: Mount Baker (se slopes)",48.75,-121.75,"Tolmiea menziesii","2008 . 7 . 12","A.S. Jensen"
"Macrosiphum_tuberculaceps","CNCHEM051387","United States: Washington: Olympic National Pk, Sol Duc Valley (trail)",47.963,-123.853,"Achlys triphylla","2003 . 7 . 23","R.G. Foottit/K.S. Pike/G. Graf"
"Macrosiphum_valerianae","CNCHEM026840","Canada: British Columbia: BC, (Ymir Forest Service Road, Wild Horse Creek)",49.335,-117.109,"Epilobium angustifolium","1998 . 8 . 13","R.G. Foottit/L.M. Humble"
"Macrosiphum_violae","CNCHEM070724","United States: Washington: west of Greenwater (Hwy 410)",47.154,-121.708,"Viola glabella","2010 . 7 . 10","A.S. Jensen"
"Macrosiphum_willamettense","CNCHEM057548","Canada: British Columbia: n of Kitimat (Hwy 37)",54.111,-128.602,"Spiraea douglasii","2007 . 8 . 16","Eric Maw/D.I. Barnes"
"Macrosiphum_wilsoni","CNCHEM063993","Canada: British Columbia: BC",,,"Maianthemum stellatum","2007 . 7 . 4","S. Eigenbrod"
"Maculolachnus_sijpkensi","CNCHEM010265","Canada: Saskatchewan: n of Craven (crest of valley)",50.747,-104.858,"Rosa acicularis","1995 . 7 . 5","Eric Maw"
"Mastopoda_pteridis","CNCHEM049236","United States: South Carolina: Picket Post (Hwy 11 at Oconee Station Road)",34.83,-83.046,"Pteridium aquilinum","2002 . 5 . 29","Maw/von Dohlen/Foottit/Rowe"
"Melanaphis_bambusae","CNCHEM054176","United States: California: Arcadia (Los Angeles State and County Arboretum)",34.141,-118.054,"Bambusa glaucescens","2005 . 9 . 21","Eric Maw/R.G. Foottit"
"Melaphis_rhois","CNCHEM006214","Canada: Nova Scotia: Lower Onslow (Dept. Natural Resources workshop)",45.383,-63.424,"Rhus typhina","1993 . 8 . 5","Eric Maw/R.G. Foottit"
"Microparsus_singularis","CNCHEM049333","United States: Tennessee: Pumpkin Center (Hwy 72)",35.571,-84.094,"Lespedeza","2002 . 6 . 1","Maw/Foottit/von Dohlen/Rowe"
"Microsiphoniella_artemisiae","CNCHEM063394","Canada: Alberta: Lethbridge (Indian Battle Park)",49.694,-112.86,"Artemisia absinthium","2009 . 7 . 6","Eric Maw/R.G. Foottit"
"Mindarus_abietinus","CHAN_2006_0034","Canada: British Columbia: Vancouver (Van Dusen Botanical Garden)",49.24,-123.132,"Abies pinsapo","2006 . 5 . 29","C.-K. Chan"
"Mindarus_obliquus","CNCHEM007174","Canada: Ontario: 6 km w of Hagar (picnic area, Hwy 17)",46.47,-80.49,"Picea glauca","1992 . 7 . 28","Eric Maw"
"Monellia_caryella","CNCHEM007577","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake; south shore (Puffers Bay))",44.561,-78.045,"Carya cordiformis","1993 . 6 . 30","Eric Maw"
"Monelliopsis_caryae","CHAN_2006_0364","Canada: British Columbia: Pitt Meadows (Golden Eagle Trees, 20992 Thompson Road)",49.279,-122.638,"Juglans nigra","2006 . 9 . 8","C.-K. Chan"
"Mordwilkoja_vagabunda","CNCHEM006096","Canada: New Brunswick: Acadia Forestry Experimental Station (intersection access roads 321 & 16)",46.022,-66.294,"Lysimachia terrestris","1993 . 8 . 3","Eric Maw/R.G. Foottit"
"Muscaphis_escherichi","CNCHEM063037","United States: Washington: 1.2 mi sw of Ilwaco",46.28,-124.06,"Bryophyta","2009 . 4 . 8","K.S. Pike/L. Pike"
"Muscaphis_musci","CNCHEM113568","United States: Montana: MT, (Rogers Pass)",47.077,-112.37,"Racomitrium aciculare","2005 . 6 . 19","K.S. Pike"
"Muscaphis_stroyani","CNCHEM049270","United States: North Carolina: Shooting Creek/Rainbow Springs (Hwy 64 bridge at Buck Creek)",35.07,-83.604,"Crataegus","2002 . 5 . 30","Maw/von Dohlen/Foottit/Rowe"
"Muscaphis_utahensis","CNCHEM061786","United States: Utah: near Huntsville (Beaver canyon)",41.25,-111.7,"Polytrichum","2008 . 9 . 12","K.S. Pike"
"Myzaphis_rosarum","CHAN_2006_0158","Canada: British Columbia: Vancouver (UBC, Asian Garden, Lower Asian Way & Delavoy Trail,)",49.252,-123.25,"Rosa elegantula","2006 . 6 . 27","C.-K. Chan"
"Myzocallis_carpini","CHAN_2006_0145","Canada: British Columbia: Vancouver (median opp 3967 W King Edward Ave)",49.25,-123.193,"Carpinus betulus","2006 . 6 . 27","C.-K. Chan"
"Myzocallis_castanicola","CHAN_2006_0135","Canada: British Columbia: Vancouver (UBC, Old Arboretun,)",49.266,-123.257,"Castanea dentata","2006 . 6 . 23","C.-K. Chan"
"Myzocallis_coryli","CHAN_2006_0294","Canada: British Columbia: Vancouver (Van Dusen Botanical Garden)",49.238,-123.13,"Corylus avellana","2006 . 8 . 29","C.-K. Chan"
"Myzocallis_ephemerata","CNCHEM054958","United States: Michigan: Manistee N.F., n of Walkers Corners (Osborne Ave)",43.794,-85.949,"Quercus (Quercus)","2007 . 6 . 22","Eric Maw/B. Brunet"
"Myzocallis_walshii","CHAN_2006_0122","Canada: British Columbia: Burnaby (opp 4444 Irmin St (South Slope Elementary School))",49.216,-123.004,"Quercus rubra","2006 . 6 . 20","C.-K. Chan"
"Myzodium_modestum","CNCHEM055059","United States: Washington: WA, (Olympic NP nr Quinault River S side)",47.53,-123.72,"Bryophyta","2006 . 3 . 21","K.S. Pike"
"Myzus_ascalonicus","CNCHEM055061","United States: Washington: WA, (Olympic NP nr Quinault River S side)",47.53,-123.72,"Veronica beccabunga","2006 . 3 . 21","K.S. Pike"
"Myzus_hemerocallis","CNCHEM061682","Australia: ACT: Canberra (Acton)",-35.282,149.11,"Hemerocallis","2008 . 9 . 25",
"Myzus_ligustri","CNCHEM061870","Canada: British Columbia: Vancouver (3606 Ontario St)",49.253,-123.104,"Ligustrum vulgare","2008 . 5 . 8","C.-K. Chan"
"Myzus_lythri","CHAN_2006_0134","Canada: British Columbia: Vancouver (UBC, trail nr Anthropology Museum)",49.27,-123.258,"Prunus emarginata","2006 . 6 . 23","C.-K. Chan"
"Myzus_ornatus","CHAN_2006_0111","Canada: British Columbia: Vancouver (2010 Harrison Drive)",49.21,-123.065,"Erica carnea","2006 . 6 . 16","C.-K. Chan"
"Myzus_varians","CNCHEM049377","United States: North Carolina: Barnard (along river s of bridge)",35.839,-82.754,"Clematis","2002 . 6 . 2","Maw/Foottit/von Dohlen/Rowe"
"Nasonovia_acyrthosiphon","CNCHEM068392","United States: Washington: Trout Lake (FR24 small runoff)",46.036,-121.706,"Ribes inerme","2009 . 6 . 25","G. Graf/D. Graf"
"Nasonovia_castelleiae","2012EM_0655","Canada: British Columbia: Lakelse Lake, Hwy 37 south of Lakelse Lake",54.302,-128.537,"Rumex acetosella","2012 . 7 . 28","Eric Maw"
"Nasonovia_houghtonensis","CNCHEM070295","United States: Washington: WA, (Pine Creek, Goldendale-Bickleton Rd)",45.994,-120.323,"Ribes","2010 . 6 . 22","E. Eakin/G. Graf"
"Nasonovia_ribisnigri","CNCHEM006936","Canada: Ontario: Dummer Tshp, Clarina (Upper Stoney Lake; south shore (Puffers Bay))",44.561,-78.045,"Sonchus arvensis","1991 . 8 . 4","Eric Maw"
"Nasonovia_takala","CNCHEM028699","United States: Utah: n of Helper (Hwy 191)",39.762,-110.813,"Gilia","1999 . 7 . 10","Eric Maw/R.G. Foottit"
"Nasonovia_williamsi","CNCHEM072184","United States: Washington: Yakima County, 1 mi S of Morse Creek",46.9,-121.44,"Potentilla flabellifolia","2010 . 9 . 16","K.S. Pike"
"Nearctaphis_bakeri","CHAN_2006_0368","Canada: British Columbia: Pitt Meadows (Golden Eagle Trees, 20992 Thompson Road)",49.279,-122.638,"Sorbus x thuringiaca","2006 . 9 . 8","C.-K. Chan"
"Nearctaphis_clydesmithi","CNCHEM049266","United States: North Carolina: Shooting Creek/Rainbow Springs (Hwy 64 bridge at Buck Creek)",35.07,-83.604,"Crataegus","2002 . 5 . 30","von Dohlen/Maw/Rowe/Foottit"
"Nearctaphis_crataegifoliae","CNCHEM008894","Canada: Ontario: Ottawa (Walkley Rd @ Albion N)",45.377,-75.655,"Crataegus punctata","1995 . 5 . 18","Eric Maw"
"Nearctaphis_kachena","CNCHEM028720","United States: Utah: Cache National Forest (Hwy 39)",41.419,-111.523,"Castilleja","1999 . 7 . 11","Eric Maw/R.G. Foottit"
"Nearctaphis_sensoriata","CNCHEM028916","Canada: British Columbia: s of Mount Baldy Ski Area",49.114,-119.215,"Amelanchier alnifolia","1999 . 7 . 17","Eric Maw/R.G. Foottit"
"Neoamphorophora_kalmiae","CNCHEM006111","Canada: New Brunswick: s of McAdam (Georgia Pacific logging road 407)",45.433,-67.21,"Kalmia angustifolia","1993 . 8 . 3","Eric Maw/R.G. Foottit"
"Neophyllaphis_podocarpi","CNCHEM054013","Japan: Kanagawa prefecture: Kamakura",35.33,139.54,"Podocarpus","1994 . 9 . 11",
"Neosymydobius_albasiphus","CNCHEM055802","United States: Illinois: Starved Rock State Park (Saint Louis Canyon)",41.32,-89.009,"Quercus (Quercus)","2007 . 6 . 24","Eric Maw/B. Brunet"
"Neotoxoptera_formosana","CNCHEM056630","New Zealand: Christchurch, Cashmere (Hackthorne Rd)",-43.576,172.625,"Allium tuberosum","2006 . 10 . 25","R. Falloon"
"Obtusicauda_coweni","CNCHEM050283","United States: California: Tahoe (Sawmill Pond, Sawmill Road at Lake Tahoe Blvd)",38.889,-120.026,"Artemisia tridentata","2002 . 10 . 20","Eric Maw/R.G. Foottit"
"Oestlundiella_flava","CNCHEM051382","United States: Washington: Elwha ( road down to Elhwa River)",48.062,-123.59,"Alnus rubra","2003 . 7 . 23","R.G. Foottit/K.S. Pike/G. Graf"
"Ovatus_crataegarius","CHAN_2006_0481_2","Canada: British Columbia: Vancouver (UBC, outside the botanical garden, nr the parking lot)",49.254,-123.251,"Crataegus kansuensis","2006 . 9 . 26","C.-K. Chan"
"Pachypappa_pseudobyrsa","CNCHEM011132","Canada: Ontario: Ottawa (Walkley Rd @ Albion N)",45.377,-75.655,"Populus deltoides","1996 . 6 . 13","Eric Maw"
"Pachypappa_sacculi","CNCHEM033116","Canada: British Columbia: Clearwater Recreation Site (w of Keena Kleene)",52.014,-124.988,"Populus tremuloides","2000 . 7 . 18","Eric Maw/R.G. Foottit"
"Panaphis_juglandis","CNCHEM113979","United States: Washington: Prosser (Irrigation Experimental Station, Washington State University)",46.254,-119.737,"Juglans","2006 . 6 . 26","J. Fullbright"
"Papulaphis_sleesmani","CNCHEM056868","United States: Michigan: Ottawa N.F., sw of Wakefield (end of Wolf Mountain Rd (Ffh 9300))",46.444,-89.768,"Adiantum pedatum","2007 . 6 . 27","Eric Maw/B. Brunet"
"Peltaphis_hottesi","CNCHEM028512","United States: Illinois: Beaverville Tshp., Iroquois County State Conservation Area (west side, at shooting range)",40.988,-87.599,"bug vac","1999 . 7 . 4","Eric Maw/R.G. Foottit/D. Voegtlin"
"Pemphigus_betae","CNCHEM050663","Canada: Alberta: Lethbridge (Indian Battle Park)",49.694,-112.859,"Populus","2001 . 6 . 3","K. Floate"
"Pemphigus_bursarius","CNCHEM028374","Canada: Ontario: Mersea Tshp, Pelee marsh (Tshp Road E)",41.989,-82.515,"Populus nigra","1999 . 6 . 16","Eric Maw/R.G. Foottit"
"Pemphigus_populiramulorum","CNCHEM010570","Canada: Saskatchewan: Indian Head (PFRA tree nursery)",50.511,-103.685,"Populus deltoides","1995 . 7 . 18","Eric Maw/R.G. Foottit"
"Pemphigus_populitransversus","CNCHEM053872_2","Canada: Ontario: Norfolk, w of Delhi (Church Road just s of Hwy 3)",42.843,-80.557,"Populus deltoides","2005 . 6 . 28","Eric Maw/R.G. Foottit"
"Pemphigus_populivenae","CNCHEM005828","Canada: Alberta: Lethbridge (Indian Battle Park)",49.699,-112.867,"Populus","2001 . 6 . 7","K. Floate"
"Pemphigus_spyrothecae","CHAN_2006_0124","Canada: British Columbia: Burnaby (4446 Watling St (South Slope Elementary School, parking lot))",49.216,-123.003,"Populus nigra","2006 . 6 . 20","C.-K. Chan"
"Pentalonia_nigronervosa","CNCHEM050440","Guam: Yigo (Yigo Exp. Sta., Wall's Plot)",13.533,144.872,"Musa acuminata","2003 . 2 . 20",
"Periphyllus_californiensis","CNCHEM056605","New Zealand: Hillmorton (Warren Cres)",-43.555,172.584,"Acer palmatum","2006 . 10 . 4","E. Parr"
"Periphyllus_lyropictus","CNCHEM010044","Canada: Ontario: Ottawa (Bank St @ Alta Vista)",45.372,-75.664,"Acer platanoides","1995 . 6 . 10","Eric Maw"
"Periphyllus_negundinis","CNCHEM008875","Canada: Ontario: Ottawa (Central Experimental Farm, arboretum)",45.391,-75.704,"Acer negundo","1995 . 5 . 9","Eric Maw"
"Periphyllus_testudinaceus","CHAN_2006_0152","Canada: British Columbia: Vancouver (UBC, Asian Garden, Sargent Trail)",49.254,-123.251,"Acer macrophyllum","2006 . 6 . 27","C.-K. Chan"
"Phloeomyzus_passerinii","CNCHEM054006","United Kingdom: England: Richmond, Kew (Royal Botanic Gardens)",51.481,-0.291,"Populus nigra","1995 . 6 . 9","D. Stern"
"Phorodon_humuli","CHAN_2006_0103","Canada: British Columbia: Vancouver (182 E 23 Ave)",49.249,-123.102,"Prunus domestica","2006 . 6 . 14","C.-K. Chan"
"Phyllaphis_fagi","CHAN_2006_0231","Canada: British Columbia: Vancouver (2976 W 10 Ave)",49.263,-123.172,"Fagus sylvatica","2006 . 8 . 14","C.-K. Chan"
"Pleotrichophorus_brevinectarius","CNCHEM063375","Canada: Alberta: e of Onefour (Hwy 501)",49.102,-110.457,"Artemisia cana","2009 . 7 . 5","Eric Maw/R.G. Foottit"
"Pleotrichophorus_decampus","CNCHEM113347","United States: Washington: Walla Walla Co., nr Lowden (McDonald Rd)",43.03,-118.55,"Distichlis stricta","2005 . 11 . 7","G. Graf"
